Section,Content,Question,Options,Answer,Note
Kanji,不祥事の事実を隠蔽しようとしたことが発覚した。,「隠蔽」の読み方は？,"[""\u304a\u3093\u307a\u3044"", ""\u3044\u3093\u307a\u3044"", ""\u3044\u3093\u3078\u3044"", ""\u304a\u3093\u3078\u3044""]",B,「隠蔽（いんぺい）」は、事実を隠し覆うことを指します。
Kanji,この件については、審議会に諮る必要がある。,「諮る」の読み方は？,"[""\u306f\u304b\u308b"", ""\u3044\u305f\u308b"", ""\u3055\u3050\u308b"", ""\u3042\u3084\u3064\u308b""]",A,「諮る（はかる）」は、上の者が下の者に意見を求める際に使われます。
Kanji,長年の無理がたたり、計画に綻びが生じ始めた。,「綻び」の読み方は？,"[""\u3042\u305d\u3073"", ""\u3055\u3073"", ""\u307b\u3053\u308d\u3073"", ""\u3088\u308d\u3053\u3073""]",C,「綻び（ほころび）」は、縫い目が解けることや、物事の欠陥を指します。
Kanji,新しい法案の暫定的な運用が決定した。,「暫定」の読み方は？,"[""\u305c\u3093\u3066\u3044"", ""\u3056\u3093\u3066\u3044"", ""\u305b\u3093\u3066\u3044"", ""\u3066\u3093\u3066\u3044""]",B,「暫定（ざんてい）」は、正式な決定までの間、一時的に決めることです。
Kanji,彼は自由を享受している。,「享受」の読み方は？,"[""\u304d\u3087\u3046\u3058\u3085"", ""\u304d\u3087\u3046\u3057\u3085\u3046"", ""\u304d\u3087\u3046\u306b\u3087"", ""\u304d\u3087\u3046\u3057\u3087""]",A,「享受（きょうじゅ）」は、受け取って自分のものとして楽しむことです。
Kanji,組織の刷新を図るために、人事を入れ替えた。,「刷新」の読み方は？,"[""\u3055\u3063\u3057\u3093"", ""\u3055\u3044\u3057\u3093"", ""\u3055\u3064\u3057\u3093"", ""\u3055\u3063\u3057""]",A,「刷新（さっしん）」は、悪い状態を改めて全く新しくすることです。
Kanji,特定の所得に対して税を賦課する。,「賦課」の読み方は？,"[""\u3076\u304b"", ""\u3075\u304b"", ""\u3075\u3051"", ""\u3076\u3051""]",B,「賦課（ふか）」は、税金などを割り当てて負担させることです。
Kanji,理想と現実の乖離が激しい。,「乖離」の読み方は？,"[""\u304b\u3044\u308a"", ""\u3051\u3044\u308a"", ""\u304b\u3044\u308c"", ""\u3051\u3044\u308c""]",A,「乖離（かいり）」は、結びつきが離れること、背くことを指します。
Kanji,前任者のやり方を踏襲する。,「踏襲」の読み方は？,"[""\u3068\u3046\u3057\u3085\u3046"", ""\u3075\u3057\u3085\u3046"", ""\u3068\u3046\u3057\u3085"", ""\u3075\u3057\u3085""]",A,「踏襲（とうしゅう）」は、前人のやり方などをそのまま受け継ぐことです。
Kanji,緻密な計算に基づいて設計されている。,「緻密」の読み方は？,"[""\u3061\u307f\u3064"", ""\u3058\u307f\u3064"", ""\u3066\u3044\u307f\u3064"", ""\u305b\u3044\u307f\u3064""]",A,「緻密（ちみつ）」は、細かく詳しいこと、綿密なことを指します。
Vocabulary,仕事が忙しくて、家事が（　）になっている。,空欄に入る適切な言葉は？,"[""\u304a\u308d\u305d\u304b"", ""\u3057\u3068\u3084\u304b"", ""\u3055\u308f\u3084\u304b"", ""\u3042\u3056\u3084\u304b""]",A,「おろそか」は、いい加減にする、怠るという意味です。
Vocabulary,準備が整ったので、作業が（　）進んでいる。,空欄に入る適切な言葉は？,"[""\u306f\u304b\u3069\u3063\u3066"", ""\u3053\u3060\u308f\u3063\u3066"", ""\u307e\u3054\u3064\u3044\u3066"", ""\u3082\u305f\u3064\u3044\u3066""]",A,「捗る（はかどる）」は、仕事などが順調に進むという意味です。
Vocabulary,彼は（　）犯行を否定し続けている。,空欄に入る適切な言葉は？,"[""\u57f7\u62d7\u306b"", ""\u9732\u9aa8\u306b"", ""\u6f20\u7136\u3068"", ""\u5a49\u66f2\u306b""]",A,「執拗（しつよう）に」は、しつこく、あきらめずにという意味です。
Vocabulary,将来に対して（　）とした不安を抱いている。,空欄に入る適切な言葉は？,"[""\u6f20\u7136"", ""\u6bc5\u7136"", ""\u9a12\u7136"", ""\u65ad\u7136""]",A,「漠然（ばくぜん）」は、ぼんやりとしていてはっきりしない様子です。
Vocabulary,嫌な顔を（　）に出すのは大人げない。,空欄に入る適切な言葉は？,"[""\u9732\u9aa8"", ""\u660e\u767d"", ""\u9855\u8457"", ""\u9732\u5448""]",A,「露骨（ろこつ）」は、感情などを隠さず外に出すことです。
Vocabulary,断りにくいので（　）な表現を使った。,空欄に入る適切な言葉は？,"[""\u5a49\u66f2"", ""\u5c48\u6298"", ""\u8fc2\u56de"", ""\u9060\u9694""]",A,「婉曲（えんきょく）」は、遠回しに言うことです。
Vocabulary,景気の悪化が（　）される。,空欄に入る適切な言葉は？,"[""\u61f8\u5ff5"", ""\u57f7\u5ff5"", ""\u65ad\u5ff5"", ""\u5c02\u5ff5""]",A,「懸念（けねん）」は、心配すること、不安に思うことです。
Vocabulary,病状が回復する（　）が見られない。,空欄に入る適切な言葉は？,"[""\u5146\u5019"", ""\u5fb4\u53ce"", ""\u8c61\u5fb4"", ""\u7279\u5fb4""]",A,「兆候（ちょうこう）」は、何かが起ころうとする前触れのことです。
Vocabulary,不当な扱いに（　）を覚える。,空欄に入る適切な言葉は？,"[""\u61a4\u308a"", ""\u3053\u3060\u308f\u308a"", ""\u6238\u60d1\u3044"", ""\u7c98\u308a""]",A,「憤り（いきどおり）」は、激しい怒りのことです。
Vocabulary,手続きの（　）を図るために窓口を増やした。,空欄に入る適切な言葉は？,"[""\u4fbf\u5b9c"", ""\u9069\u5b9c"", ""\u91cd\u5b9d"", ""\u7c21\u7d20""]",A,「便宜（べんぎ）」は、都合が良いこと、便利なことです。
Grammar,公共の場で大声で騒ぐとは、失礼（　）。,空欄に入る適切な言葉は？,"[""\u6975\u307e\u308a\u306a\u3044"", ""\u6975\u307e\u3089\u306a\u3044"", ""\u6975\u3081\u308b"", ""\u6975\u307e\u308b""]",A,「～極まりない」は、これ以上ないほど～だ（悪い意味で使われることが多い）という意味です。
Grammar,今回の東京公演（　）、全国ツアーが始まる。,空欄に入る適切な言葉は？,"[""\u3092\u76ae\u5207\u308a\u306b"", ""\u3092\u9650\u308a\u306b"", ""\u3092\u5951\u6a5f\u306b"", ""\u3092\u6700\u5f8c\u306b""]",A,「～を皮切りに」は、それをきっかけとして次々に物事が起こることを表します。
Grammar,彼は、今にも泣き出さ（　）顔で立っていた。,空欄に入る適切な言葉は？,"[""\u3093\u3070\u304b\u308a\u306e"", ""\u3093\u3068\u3059\u308b"", ""\u305d\u3046\u306b\u306a\u3044"", ""\u304c\u305f\u3081\u306e""]",A,「～んばかりに」は、今にも～しそうな様子であることを表します。
Grammar,子供は子供（　）の悩みがあるものだ。,空欄に入る適切な言葉は？,"[""\u306a\u308a\u306b"", ""\u304c\u3086\u3048\u306b"", ""\u306e\u3054\u3068\u304f"", ""\u3081\u3044\u305f""]",A,「～なりに」は、その立場にふさわしい程度で、という意味です。
Grammar,そんなことは夢に（　）思わなかった。,空欄に入る適切な言葉は？,"[""\u3060\u306b"", ""\u3059\u3089"", ""\u3055\u3048"", ""\u3053\u305d""]",A,「～だに」は、「～だけでも」や「～さえしない」という意味で、想像や夢などと共に使われます。
Grammar,それは教師としてある（　）まじき行為だ。,空欄に入る適切な言葉は？,"[""\u307e\u3058\u304d"", ""\u3079\u304d"", ""\u3079\u304b\u3089\u3056\u308b"", ""\u306f\u305a\u306e""]",A,「～まじき」は、立場上あってはならない、という意味です。
Grammar,いかに困難（　）、最後までやり遂げるつもりだ。,空欄に入る適切な言葉は？,"[""\u3068\u3044\u3048\u3069\u3082"", ""\u3068\u3044\u3063\u305f\u3089"", ""\u3068\u306f\u3044\u3048"", ""\u3068\u3042\u308c\u3070""]",A,「～といえども」は、「～であっても」という逆接の確定条件を表します。
Grammar,彼は漢字（　）、ひらがなも書けない。,空欄に入る適切な言葉は？,"[""\u306f\u304a\u308d\u304b"", ""\u306f\u304a\u308d\u304b\u306b\u3082"", ""\u306f\u3082\u3068\u3088\u308a"", ""\u306f\u3055\u3066\u304a\u304d""]",A,「～はおろか」は、「～はもちろん、それより程度の低いことも～だ」という意味です。
