Section,Content,Question,Options,Answer,Note
Kanji,次の漢字の読み方を選びなさい。,1. 山,"[""\u3084\u307e"", ""\u304b\u308f"", ""\u3046\u307f"", ""\u305d\u3089""]",A,「山」は「やま」と読みます。
Kanji,次の漢字の読み方を選びなさい。,2. 川,"[""\u3084\u307e"", ""\u304b\u308f"", ""\u3046\u307f"", ""\u305d\u3089""]",B,「川」は「かわ」と読みます。
Kanji,次の漢字の読み方を選びなさい。,3. 海,"[""\u3084\u307e"", ""\u304b\u308f"", ""\u3046\u307f"", ""\u305d\u3089""]",C,「海」は「うみ」と読みます。
Kanji,次の漢字の読み方を選びなさい。,4. 空,"[""\u3084\u307e"", ""\u304b\u308f"", ""\u3046\u307f"", ""\u305d\u3089""]",D,「空」は「そら」と読みます。
Kanji,次の漢字の読み方を選びなさい。,5. 人,"[""\u3072\u3068"", ""\u306d\u3053"", ""\u3044\u306c"", ""\u3068\u308a""]",A,「人」は「ひと」と読みます。
Vocabulary,次の言葉の意味に一番近いものを選びなさい。,1. 大きい,"[""\u3061\u3044\u3055\u3044"", ""\u304a\u304a\u304d\u3044"", ""\u305f\u304b\u3044"", ""\u3072\u304f\u3044""]",B,「大きい」は「おおきい」と同じ意味です。
Vocabulary,次の言葉の意味に一番近いものを選びなさい。,2. 高い,"[""\u3061\u3044\u3055\u3044"", ""\u304a\u304a\u304d\u3044"", ""\u305f\u304b\u3044"", ""\u3072\u304f\u3044""]",C,「高い」は「たかい」と同じ意味です。
Vocabulary,次の言葉の意味に一番近いものを選びなさい。,3. 新しい,"[""\u3042\u305f\u3089\u3057\u3044"", ""\u3075\u308b\u3044"", ""\u304a\u3082\u3057\u308d\u3044"", ""\u3064\u307e\u3089\u306a\u3044""]",A,「新しい」は「あたらしい」と同じ意味です。
Vocabulary,次の言葉の意味に一番近いものを選びなさい。,4. 暑い,"[""\u3042\u3064\u3044"", ""\u3055\u3080\u3044"", ""\u3042\u305f\u305f\u304b\u3044"", ""\u3059\u305a\u3057\u3044""]",A,「暑い」は「あつい」と同じ意味です。
Vocabulary,次の言葉の意味に一番近いものを選びなさい。,5. 楽しい,"[""\u305f\u306e\u3057\u3044"", ""\u304b\u306a\u3057\u3044"", ""\u3046\u308c\u3057\u3044"", ""\u304a\u3082\u3057\u308d\u3044""]",A,「楽しい」は「たのしい」と同じ意味です。
