Section,Content,Question,Options,Answer,Note
Kanji,わたしの　うちは　山の　ちかくに　あります。,「山」の　よみかたは　どれですか。,"[""\u304b\u308f"", ""\u3084\u307e"", ""\u3046\u307f"", ""\u305d\u3089""]",B,The kanji 山 is read as 'yama' (mountain).
Kanji,つめたい　水を　のみます。,「水」の　よみかたは　どれですか。,"[""\u307f\u305a"", ""\u304a\u3061\u3083"", ""\u3055\u3051"", ""\u3086""]",A,The kanji 水 is read as 'mizu' (water).
Grammar,わたしは　まいあさ　しちじ（　）　おきます。,（　）に　なにを　いれますか。,"[""\u3092"", ""\u304c"", ""\u306b"", ""\u3078""]",C,The particle 'ni' is used to indicate a specific point in time.
Grammar,ここで　しゃしんを（　）ください。,（　）に　なにを　いれますか。,"[""\u3068\u3063\u3066"", ""\u3068\u308b"", ""\u3068\u308a"", ""\u3068\u3063\u305f""]",A,The structure '~te kudasai' is used for requests. The te-form of 'toru' is 'totte'.
Grammar,きのう　デパートで　かばん（　）　かいました。,（　）に　なにを　いれますか。,"[""\u306b"", ""\u3092"", ""\u306f"", ""\u3082""]",B,The particle 'wo' indicates the direct object of the verb.
Reading,田中さんは　毎朝　六時に　起きます。パンと　卵を　食べます。コーヒーを　飲みます。それから　会社へ　行きます。会社は　九時から　五時までです。夜は　テレビを　見て、十一時に　寝ます。,田中さんは　何時に　起きますか。,"[""\u4e94\u6642"", ""\u516d\u6642"", ""\u4e03\u6642"", ""\u516b\u6642""]",B,The text states '六時に 起きます' (wakes up at 6).
Reading,田中さんは　毎朝　六時に　起きます。パンと　卵を　食べます。コーヒーを　飲みます。それから　会社へ　行きます。会社は　九時から　五時までです。夜は　テレビを　見て、十一時に　寝ます。,田中さんは　何を　食べますか。,"[""\u30d1\u30f3\u3068\u3000\u5375"", ""\u3054\u98ef\u3068\u3000\u9b5a"", ""\u30d1\u30f3\u3068\u3000\u679c\u7269"", ""\u4f55\u3082\u3000\u98df\u3079\u307e\u305b\u3093""]",A,The text states 'パンと 卵を 食べます' (eats bread and eggs).
Reading,田中さんは　毎朝　六時に　起きます。パンと　卵を　食べます。コーヒーを　飲みます。それから　会社へ　行きます。会社は　九時から　五時までです。夜は　テレビを　見て、十一時に　寝ます。,田中さんは　どこへ　行きますか。,"[""\u5b66\u6821"", ""\u516c\u5712"", ""\u4f1a\u793e"", ""\u30c7\u30d1\u30fc\u30c8""]",C,The text states '会社へ 行きます' (goes to the company/office).
Reading,昨日は　日曜日でした。私は　友達の　リーさんと　京都へ　行きました。京都は　とても　静かでした。私たちは　古い　お寺を　見ました。それから　有名な　レストランで　昼ご飯を　食べました。天気は　あまり　よくなかったです。雨が　降りましたが、とても　楽しかったです。,私は　だれと　京都へ　行きましたか。,"[""\u4e00\u4eba\u3067"", ""\u5bb6\u65cf\u3068"", ""\u30ea\u30fc\u3055\u3093\u3068"", ""\u5148\u751f\u3068""]",C,The text mentions '友達の リーさんと' (with friend Lee-san).
Reading,昨日は　日曜日でした。私は　友達の　リーさんと　京都へ　行きました。京都は　とても　静かでした。私たちは　古い　お寺を　見ました。それから　有名な　レストランで　昼ご飯を　食べました。天気は　あまり　よくなかったです。雨が　降りましたが、とても　楽しかったです。,二人は　京都で　何を　しましたか。,"[""\u8cb7\u3044\u7269\u3092\u3057\u307e\u3057\u305f"", ""\u304a\u5bfa\u3092\u898b\u307e\u3057\u305f"", ""\u6620\u753b\u3092\u898b\u307e\u3057\u305f"", ""\u6cf3\u304e\u307e\u3057\u305f""]",B,The text says '古い お寺を 見ました' (saw old temples).
Reading,昨日は　日曜日でした。私は　友達の　リーさんと　京都へ　行きました。京都は　とても　静かでした。私たちは　古い　お寺を　見ました。それから　有名な　レストランで　昼ご飯を　食べました。天気は　あまり　よくなかったです。雨が　降りましたが、とても　楽しかったです。,昨日の　天気は　どうでしたか。,"[""\u6674\u308c\u3067\u3057\u305f"", ""\u66c7\u308a\u3067\u3057\u305f"", ""\u96ea\u3067\u3057\u305f"", ""\u96e8\u3067\u3057\u305f""]",D,The text states '雨が 降りました' (it rained).
Listening,"男：いらっしゃいませ。
女：すみません、メニューを　ください。
男：はい、どうぞ。
女：ええと、カレーを　一つと　お茶を　一つ　お願いします。
男：はい。カレーが　一つと　お茶が　一つですね。
女：あ、すみません。お茶じゃなくて、コーヒーを　ください。
男：わかりました。カレーと　コーヒーですね。全部で　八百円です。
女：はい、千円で　お願いします。
男：はい、二百円の　お返しです。ありがとうございました。",女の人は　何を　注文しましたか。,"[""\u30ab\u30ec\u30fc\u3068\u3000\u304a\u8336"", ""\u30ab\u30ec\u30fc\u3068\u3000\u30b3\u30fc\u30d2\u30fc"", ""\u30e9\u30fc\u30e1\u30f3\u3068\u3000\u304a\u8336"", ""\u30e9\u30fc\u30e1\u30f3\u3068\u3000\u30b3\u30fc\u30d2\u30fc""]",B,The woman changed her order from tea to coffee.
Listening,"男：いらっしゃいませ。
女：すみません、メニューを　ください。
男：はい、どうぞ。
女：ええと、カレーを　一つと　お茶を　一つ　お願いします。
男：はい。カレーが　一つと　お茶が　一つですね。
女：あ、すみません。お茶じゃなくて、コーヒーを　ください。
男：わかりました。カレーと　コーヒーですね。全部で　八百円です。
女：はい、千円で　お願いします。
男：はい、二百円の　お返しです。ありがとうございました。",全部で　いくらですか。,"[""\u516d\u767e\u5186"", ""\u4e03\u767e\u5186"", ""\u516b\u767e\u5186"", ""\u4e5d\u767e\u5186""]",C,The waiter says '全部で 八百円です' (800 yen in total).
Listening,"男：いらっしゃいませ。
女：すみません、メニューを　ください。
男：はい、どうぞ。
女：ええと、カレーを　一つと　お茶を　一つ　お願いします。
男：はい。カレーが　一つと　お茶が　一つですね。
女：あ、すみません。お茶じゃなくて、コーヒーを　ください。
男：わかりました。カレーと　コーヒーですね。全部で　八百円です。
女：はい、千円で　お願いします。
男：はい、二百円の　お返しです。ありがとうございました。",女の人は　いくら　払いましたか。,"[""\u4e94\u767e\u5186"", ""\u516b\u767e\u5186"", ""\u5343\u5186"", ""\u4e8c\u5343\u5186""]",C,"The woman says '千円で お願いします' (1000 yen, please)."
Listening,"男：いらっしゃいませ。
女：すみません、メニューを　ください。
男：はい、どうぞ。
女：ええと、カレーを　一つと　お茶を　一つ　お願いします。
男：はい。カレーが　一つと　お茶が　一つですね。
女：あ、すみません。お茶じゃなくて、コーヒーを　ください。
男：わかりました。カレーと　コーヒーですね。全部で　八百円です。
女：はい、千円で　お願いします。
男：はい、二百円の　お返しです。ありがとうございました。",おつりは　いくらですか。,"[""\u767e\u5186"", ""\u4e8c\u767e\u5186"", ""\u4e09\u767e\u5186"", ""\u56db\u767e\u5186""]",B,The waiter says '二百円の お返しです' (200 yen change).
